2026-07-09T17:21:59Z model=claude-haiku-4-5 input_tokens=25130 output_tokens=303 note=extract_filing_revenue doc_id=8
2026-07-09T17:22:09Z model=claude-haiku-4-5 input_tokens=35935 output_tokens=289 note=extract_filing_revenue doc_id=9
2026-07-09T17:22:15Z model=claude-haiku-4-5 input_tokens=28868 output_tokens=212 note=extract_filing_revenue doc_id=10
2026-07-09T17:22:21Z model=claude-haiku-4-5 input_tokens=28291 output_tokens=219 note=extract_filing_revenue doc_id=11
2026-07-09T17:22:27Z model=claude-haiku-4-5 input_tokens=28554 output_tokens=232 note=extract_filing_revenue doc_id=12
2026-07-09T17:22:34Z model=claude-haiku-4-5 input_tokens=28105 output_tokens=284 note=extract_filing_revenue doc_id=13
2026-07-09T17:22:42Z model=claude-haiku-4-5 input_tokens=35245 output_tokens=252 note=extract_filing_revenue doc_id=14
2026-07-09T17:22:50Z model=claude-haiku-4-5 input_tokens=34445 output_tokens=330 note=extract_filing_revenue doc_id=15
2026-07-09T17:25:36Z model=claude-haiku-4-5 input_tokens=34445 output_tokens=307 note=extract_filing_revenue doc_id=15
2026-07-09T17:25:46Z model=claude-haiku-4-5 input_tokens=23216 output_tokens=231 note=extract_filing_revenue doc_id=18
2026-07-09T17:25:54Z model=claude-haiku-4-5 input_tokens=23369 output_tokens=197 note=extract_filing_revenue doc_id=19
2026-07-09T17:26:15Z model=claude-haiku-4-5 input_tokens=27381 output_tokens=294 note=extract_filing_revenue doc_id=20
2026-07-09T17:26:24Z model=claude-haiku-4-5 input_tokens=25577 output_tokens=249 note=extract_filing_revenue doc_id=21
2026-07-09T17:26:35Z model=claude-haiku-4-5 input_tokens=25459 output_tokens=349 note=extract_filing_revenue doc_id=22
2026-07-09T17:26:41Z model=claude-haiku-4-5 input_tokens=23907 output_tokens=257 note=extract_filing_revenue doc_id=23
2026-07-09T17:26:49Z model=claude-haiku-4-5 input_tokens=30438 output_tokens=370 note=extract_filing_revenue doc_id=24
2026-07-09T17:26:59Z model=claude-haiku-4-5 input_tokens=33248 output_tokens=293 note=extract_filing_revenue doc_id=25
2026-07-09T17:27:07Z model=claude-haiku-4-5 input_tokens=33810 output_tokens=317 note=extract_filing_revenue doc_id=26
2026-07-09T17:27:15Z model=claude-haiku-4-5 input_tokens=36734 output_tokens=223 note=extract_filing_revenue doc_id=27
2026-07-09T17:27:22Z model=claude-haiku-4-5 input_tokens=31489 output_tokens=336 note=extract_filing_revenue doc_id=28
2026-07-09T17:27:31Z model=claude-haiku-4-5 input_tokens=34447 output_tokens=328 note=extract_filing_revenue doc_id=29
2026-07-09T17:27:38Z model=claude-haiku-4-5 input_tokens=30226 output_tokens=277 note=extract_filing_revenue doc_id=30
2026-07-09T17:27:51Z model=claude-haiku-4-5 input_tokens=30430 output_tokens=289 note=extract_filing_revenue doc_id=31
2026-07-09T17:27:58Z model=claude-haiku-4-5 input_tokens=30662 output_tokens=236 note=extract_filing_revenue doc_id=32
2026-07-09T17:28:09Z model=claude-haiku-4-5 input_tokens=31293 output_tokens=360 note=extract_filing_revenue doc_id=33
2026-07-09T17:28:18Z model=claude-haiku-4-5 input_tokens=28620 output_tokens=310 note=extract_filing_revenue doc_id=34
2026-07-09T17:28:29Z model=claude-haiku-4-5 input_tokens=31673 output_tokens=249 note=extract_filing_revenue doc_id=35
2026-07-09T17:28:35Z model=claude-haiku-4-5 input_tokens=29453 output_tokens=206 note=extract_filing_revenue doc_id=36
2026-07-09T17:28:42Z model=claude-haiku-4-5 input_tokens=42840 output_tokens=254 note=extract_filing_revenue doc_id=37
2026-07-09T17:28:56Z model=claude-haiku-4-5 input_tokens=32082 output_tokens=240 note=extract_filing_revenue doc_id=38
2026-07-09T17:29:06Z model=claude-haiku-4-5 input_tokens=33535 output_tokens=368 note=extract_filing_revenue doc_id=39
2026-07-09T17:29:12Z model=claude-haiku-4-5 input_tokens=29261 output_tokens=286 note=extract_filing_revenue doc_id=40
2026-07-09T17:29:19Z model=claude-haiku-4-5 input_tokens=31447 output_tokens=378 note=extract_filing_revenue doc_id=41
2026-07-09T17:29:26Z model=claude-haiku-4-5 input_tokens=29141 output_tokens=221 note=extract_filing_revenue doc_id=42
